type,登録番号,施設名称,住所,fax,Web,LocName,fX,fY,iConf,iLvl
HTL,H0044,札幌グランドホテル,北海道札幌市中央区北一条西４丁目２番地,011-261-3311,http://www.grand1934.com/,北海道/札幌市/中央区/北一条/西四丁目/２番地,141.35078,43.06252,5,7
HTL,H0161,札幌パークホテル,北海道札幌市中央区南十条西３丁目１番１号,011-511-3131,http://www.park1964.com/,北海道/札幌市/中央区/南十条/西三丁目/１番,141.35594,43.04793,5,7
HTL,H0312,センチュリーロイヤルホテル,北海道札幌市中央区北五条西５の２,011-221-2121,http://www.cr-hotel.com/,北海道/札幌市/中央区/北五条/西五丁目/２番地,141.34804,43.06703,5,7
HTL,H0365,ＡＮＡクラウンプラザホテル札幌,北海道札幌市中央区北三条西一丁目２番地９,011-221-4411,http://www.anahotel-sapporo.co.jp/,北海道/札幌市/中央区/北三条/西一丁目/２番地,141.35532,43.06557,5,7
HTL,H0481,ホテルオークラ札幌,北海道札幌市中央区南一条西５の９の１,011-221-2333,http://www.sapporo-hotelokura.co.jp/,北海道/札幌市/中央区/南一条/西五丁目,141.35013,43.05867,5,6
HTL,H0482,ススキノグリーンホテル１,北海道札幌市中央区南四条西２,011-511-4111,,北海道/札幌市/中央区/南四条/西二丁目,141.3557,43.05587,5,6
HTL,H0535,京王プラザホテル札幌,北海道札幌市中央区北五条西７丁目２番地１,011-271-0111,http://www.keioplaza-sapporo.co.jp/,北海道/札幌市/中央区/北五条/西七丁目/２番地,141.345,43.06653,5,7
HTL,H0538,ニューオータニイン札幌,北海道札幌市中央区北二条西１の１,011-222-1111,http://newotanisapporo.com/,北海道/札幌市/中央区/北二条/西一丁目/１番地,141.35522,43.06432,5,7
HTL,H0730,札幌ビューホテル大通公園,北海道札幌市中央区大通西８丁目１,011-261-0111,https://www.viewhotels.co.jp/sapporo/,北海道/札幌市/中央区/大通西/八丁目/１番地,141.34525,43.05891,5,7
HTL,H1241,アートホテルズ札幌,北海道札幌市中央区南９条西２丁目５番地,011-511-0101,http://art-sapporo.com/,北海道/札幌市/中央区/南九条/西二丁目,141.35693,43.04963,5,6
HTL,H1264,プレミアホテル中島公園札幌,北海道札幌市中央区南１０条西６丁目１番２１号,011-561-1000,http://www.novotelsapporo.com/,北海道/札幌市/中央区/南十条/西六丁目/１番,141.35228,43.04741,5,7
HTL,H0798,プレミアホテル－ＴＳＵＢＡＫＩ－札幌,北海道札幌市豊平区豊平４条１丁目１番１号,011-821-1111,https://tsubaki.premierhotel-group.com/sapporo/,北海道/札幌市/豊平区/豊平四条/一丁目/１番,141.36528,43.05452,5,7
HTL,H0588,札幌ホテルヤマチ,北海道札幌市西区琴似一条３の３の６,011-644-5555,http://www.s-hotelyamachi.co.jp/,北海道/札幌市/西区/琴似一条/三丁目/３番,141.30533,43.07766,5,7
HTL,H0264,ホテル函館山,北海道函館市元町１９番地１号,0138-23-7237,http://www2.odn.ne.jp/hotelhy/,北海道/函館市/元町/１９番,140.71465,41.76048,5,7
HTL,H0269,ホテル函館ロイヤル,北海道函館市大森町１６の９,0138-26-8181,http://royal.hakodate.jp/,北海道/函館市/大森町/１６番,140.73309,41.76898,5,7
