Pref,面積,割合,自然公園,果汁地域,平均気温,最高気温,最低気温,相対湿度,降水日数,日照時間,降水量
北海道,834.24,21.03,11.2,28.9,10,28.1,-5.3,71,151,1764.3 ,905.0 
青森県,96.46,2.59,11.8,33.7,11.6,29.5,-1.7,76,159,1598.9 ,1417.0 
岩手県,152.75,4.1,4.7,24.6,11.4,30.4,-3.3,77,131,1563.8 ,1462.0 
宮城県,72.82,1.95,23.5,43.7,13.7,30.9,0.5,74,99,1797.2 ,1247.0 
秋田県,116.38,3.12,10.6,27.8,12.8,30.3,-0.8,75,192,1535.7 ,2022.5 
山形県,93.23,2.5,16.7,30.8,13,32.7,-1.3,75,127,1547.1 ,1284.5 
福島県,137.84,3.7,13,30.7,14.1,33.6,0.3,72,108,1683.5 ,1224.5 
茨城県,60.97,1.63,14.9,63.8,15,32.2,0.2,74,122,2058.8 ,1422.0 
栃木県,64.08,1.72,20.8,46.9,15,33.6,0.2,73,105,1967.2 ,1353.5 
群馬県,63.62,1.71,14,35.7,15.8,35.1,1.7,66,96,2154.8 ,1315.5 
埼玉県,37.98,1.02,32.8,68.5,16.2,35.6,1.2,69,101,2110.6 ,1364.0 
千葉県,51.58,1.38,5.5,68.5,17,33.2,4.5,67,115,1880.4 ,1791.5 
東京都,21.94,0.59,36.4,64.8,16.5,34.1,3.7,71,108,1889.5 ,1590.0 
神奈川県,24.16,0.65,22.8,61,17,33.7,4.7,70,108,2005.1 ,1687.5 
新潟県,125.84,3.37,25.2,36.2,14.7,31.5,1.5,76,182,1608.5 ,2077.5 
富山県,42.48,1.14,29.6,43.4,15.4,33.9,1.6,78,186,1664.6 ,2136.0 
石川県,41.86,1.12,12.6,33.3,15.9,32.9,2.8,69,194,1735.8 ,2535.5 
福井県,41.91,1.12,14.8,25.7,15.6,34,2.2,77,181,1695.3 ,2531.5 
山梨県,44.65,1.2,27.1,21.3,15.9,35.8,0.2,68,89,2250.3 ,1431.0 
長野県,135.62,3.64,20.5,24,13.1,33.5,-2.1,76,106,1949.1 ,1030.0 
岐阜県,106.21,2.85,18.4,20.8,17,35.9,2.8,65,110,2172.7 ,2088.5 
静岡県,77.77,2.09,10.8,35.7,17.8,33.4,4.6,71,108,2245.1 ,2613.5 
愛知県,51.73,1.39,17.2,57.9,17,35.9,3.1,68,112,2215.8 ,1711.0 
三重県,57.74,1.55,36.1,35.7,17.1,33.6,3.8,63,109,2174.5 ,1787.0 
滋賀県,40.17,1.08,37.3,32.3,15.8,34.2,2.4,76,135,1905.9 ,1862.5 
京都府,46.12,1.24,20.6,25.5,17,36.2,3.3,67,112,1851.9 ,1644.5 
大阪府,19.05,0.51,10.5,70,17.7,35.7,4.7,65,102,2149.6 ,1521.5 
兵庫県,84.01,2.25,19.8,33,17.6,34,5.1,66,98,2185.8 ,1614.5 
奈良県,36.91,0.99,17.2,23.1,16.3,35.8,2.3,71,105,1881.7 ,1628.5 
和歌山県,47.25,1.27,12.6,23.8,17.5,34.5,4.3,68,106,2178.5 ,1657.5 
鳥取県,35.07,0.94,14,25.8,15.9,35,2.3,76,156,1726.8 ,2096.0 
島根県,67.08,1.8,6,18.9,15.8,34,2.1,77,137,1780.8 ,2015.0 
岡山県,71.14,1.91,11.3,31.3,16.5,35.6,1.6,71,85,2162.4 ,1154.0 
広島県,84.8,2.27,4.5,27.1,17.1,34.5,3.6,61,99,2167.1 ,2026.5 
山口県,61.13,1.64,7,28.1,16.1,35.1,0.8,75,112,2007.4 ,2277.0 
徳島県,41.47,1.11,9.3,24.5,17.5,34.6,4.6,70,92,2240.5 ,1644.0 
香川県,18.77,0.5,10.9,53.5,17.4,35.5,3.1,69,87,2174.0 ,1108.5 
愛媛県,56.76,1.52,7.2,29.4,17.3,34.5,4.2,69,95,2162.8 ,1662.0 
高知県,71.04,1.9,6.7,16.3,17.8,34,3.9,71,115,2310.1 ,3238.5 
福岡県,49.87,1.34,17.7,55.4,17.9,34.5,5.2,69,107,2040.5 ,2212.5 
佐賀県,24.41,0.65,11,54.7,17.5,34.5,2.9,71,108,2095.0 ,2876.0 
長崎県,41.31,1.11,17.9,40.4,17.7,32.8,4.7,75,118,1974.3 ,2709.5 
熊本県,74.09,1.99,21,37.1,17.6,35.2,1.8,72,106,2130.6 ,2467.5 
大分県,63.41,1.7,27.6,28.3,17.4,34.2,3.4,71,105,2166.4 ,1860.0 
宮崎県,77.35,2.07,11.9,24.3,18.3,33.7,3.7,76,120,2208.0 ,2279.5 
鹿児島県,91.87,2.46,13.6,35.8,19.2,34.2,6.1,73,127,2041.4 ,2977.5 
沖縄県,22.83,0.61,35.7,49.4,23.8,32.2,16.1,77,129,1737.2 ,2481.0 
